,Unnamed: 0,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
244,244,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,67790.0,35999,1590,1.5,21 Ratings & 1 Reviews,3.6,CARRIER,3.0
245,245,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,45000.0,40500,1890,1.5,21 Ratings & 1 Reviews,3.6,Whirlpool,3.0
246,246,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,53000.0,43000,1650,1.5,153 Ratings & 23 Reviews,4.5,Panasonic,3.0
247,247,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,50990.0,33986,1700,1.5,108 Ratings & 19 Reviews,4.1,Godrej,3.0
248,248,Hitachi 1.5 Ton 5 Star Split Inverter AC  - White,74100.0,45389,1385,1.5,108 Ratings & 19 Reviews,4.1,Hitachi,5.0
249,249,Hitachi 1.5 Ton 3 Star Window AC  - White,29890.0,28999,1277,1.5,"3,847 Ratings & 428 Reviews",4.1,Hitachi,3.0
250,250,MarQ by Flipkart 0.8 Ton 3 Star Split Inverter AC  - White,26039.0,21490,685,0.8,"13,808 Ratings & 1,948 Reviews",4.3,MarQ,3.0
251,251,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,61900.0,32490,1840,1.5,36 Ratings & 4 Reviews,4.4,Godrej,3.0
252,252,SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,50990.0,32999,960,1.0,"1,420 Ratings & 134 Reviews",4.1,SAMSUNG,4.0
253,253,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,74700.0,35799,1325,1.5,"7,673 Ratings & 831 Reviews",4.1,Whirlpool,5.0
254,254,CARRIER 1.2 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,49990.0,34999,1050,1.2,"17,600 Ratings & 2,292 Reviews",4.4,CARRIER,5.0
255,255,SAMSUNG 1 Ton 3 Star Split AC  - White,45990.0,30990,920,1.0,552 Ratings & 53 Reviews,4.1,SAMSUNG,3.0
256,256,SAMSUNG Convertible 1 Ton 3 Star Split Inverter AC  - White,50990.0,31590,624,1.0,"1,420 Ratings & 134 Reviews",4.1,SAMSUNG,3.0
257,257,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,59990.0,46150,774,1.5,5 Ratings & 1 Reviews,4.8,Blue,5.0
258,258,Panasonic Convertible 7-in-1 with Additional AI Mode Hot & Cold 2023 Model 2 Ton 3 Star Split Inverter...,76900.0,57990,1170,2.0,304 Ratings & 40 Reviews,4.1,Panasonic,3.0
259,259,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,68990.0,42750,1455,1.5,8 Ratings & 2 Reviews,4.6,Voltas,5.0
260,260,SAMSUNG Convertible 1.5 Ton 4 Star Split Inverter AC  - White,65990.0,38990,832,1.5,232 Ratings & 21 Reviews,4.3,SAMSUNG,4.0
261,261,LG Super Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Hot and Cold Split AI Dual Inverter 4 Wa...,79990.0,47990,1015,1.5,399 Ratings & 50 Reviews,4.2,LG,3.0
262,262,"Midea 2023 Model 2 Ton 5 Star Split Inverter HD Filter with 2 Way Air Directional Control,Gear Functio...",82090.0,51999,1500,2.0,250 Ratings & 34 Reviews,3.9,Midea,5.0
263,263,Voltas 1.5 Ton 5 Star Window AC  - White,34690.0,30999,1495,1.5,"9,935 Ratings & 926 Reviews",4.3,Voltas,5.0
264,264,"Haier Heavy Duty 2023 Model 2 Ton 3 Star Split Inverter Frost Self Clean, Triple Inverter Plus Technol...",88990.0,52990,2095,2.0,"1,380 Ratings & 167 Reviews",4.0,Haier,3.0
265,265,Thomson 2 Ton 3 Star Split Inverter AC  - White,56499.0,42999,1209,2.0,745 Ratings & 164 Reviews,4.0,Thomson,3.0
266,266,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,50990.0,33986,1700,1.5,108 Ratings & 19 Reviews,4.1,Godrej,3.0
267,267,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,63850.0,39999,1024,1.5,24 Ratings & 2 Reviews,3.2,Hitachi,3.0
268,268,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,74700.0,35799,1325,1.5,"7,673 Ratings & 831 Reviews",4.1,Whirlpool,5.0
269,269,Godrej 1.5 Ton Split Inverter AC  - White (Chrome),45900.0,34099,1325,1.5,"7,673 Ratings & 831 Reviews",4.1,Godrej,5.0
270,270,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 4 Star Split Inverter Xpandable plus Ambien...,96450.0,57999,1096,1.8,24 Ratings & 2 Reviews,3.2,Hitachi,4.0
271,271,Hitachi 1.5 Ton 5 Star Split Inverter AC  - White,74100.0,45389,1385,1.5,24 Ratings & 2 Reviews,3.2,Hitachi,5.0
272,272,CARRIER Convertible 6-in-1 Cooling 2023 Model 2 Ton 5 Star Split AI Flexicool Inverter Dual Filtration...,91690.0,54999,1500,2.0,"7,406 Ratings & 741 Reviews",4.1,CARRIER,5.0
273,273,Lloyd 1 Ton 3 Star Split Inverter AC  - White,44990.0,31900,745,1.0,22 Ratings & 1 Reviews,3.9,Lloyd,3.0
274,274,Panasonic 2 Ton 3 Star Hot and Cold Split Inverter AC with Wi-fi Connect  - White,76900.0,54990,1170,2.0,304 Ratings & 40 Reviews,4.1,Panasonic,3.0
275,275,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,65990.0,45520,685,1.5,3 Ratings & 0 Reviews,3.7,LG,5.0
276,276,"Blue Star Convertible 4 in 1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter Multi Sensors, Stabalize...",69500.0,40990,850,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,4.0
277,277,SAMSUNG Convertible 2 Ton 3 Star Split Inverter AC  - White,77990.0,48999,1145,2.0,694 Ratings & 63 Reviews,4.2,SAMSUNG,3.0
278,278,LG Super Convertible 5-in-1 Cooling 1 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protect...,59990.0,32990,680,1.0,"1,066 Ratings & 83 Reviews",4.0,LG,3.0
279,279,"Blue Star Convertible 4 in 1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Multi Sensors, Stabalizer ...",52000.0,31990,1060,1.0,38 Ratings & 2 Reviews,4.0,Blue,3.0
280,280,TOSHIBA 1 Ton 3 Star Split AC  - White,38800.0,30500,1200,1.0,5 Ratings & 0 Reviews,4.0,TOSHIBA,3.0
281,281,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,76900.0,54990,774,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,5.0
282,282,Daikin 1.5 Ton 3 Star Window AC  - White,35000.0,33500,1265,1.5,222 Ratings & 29 Reviews,4.2,Daikin,3.0
283,283,Daikin 1 Ton 5 Star Split Inverter AC  - White,55500.0,39950,940,1.0,222 Ratings & 29 Reviews,4.2,Daikin,5.0
284,284,Panasonic 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,69400.0,50990,2090,2.0,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3.0
285,285,"Blue Star 1 Ton Portable with Multi Sensors, Self Diagnosis Hydrophilic Gold Fins for Protection AC  -...",39000.0,36900,1403,1.0,"3,942 Ratings & 566 Reviews",3.8,Blue,3.0
286,286,IFB 1.5 Ton 5 Star Split Inverter AC  - White,57640.0,40999,867,1.5,"3,942 Ratings & 566 Reviews",3.8,IFB,5.0
287,287,MOTOROLA 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - Silver,56549.0,37990,865,1.5,"1,049 Ratings & 159 Reviews",4.3,MOTOROLA,5.0
288,288,Midea 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,66990.0,39499,1380,1.5,9 Ratings & 1 Reviews,4.3,Midea,5.0
289,289,SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 4 Star Split Inverter Anti Bacteria Filter AC  - White,62990.0,34490,1490,1.5,194 Ratings & 16 Reviews,4.1,SAMSUNG,4.0
290,290,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,62990.0,57500,1700,1.5,"2,703 Ratings & 403 Reviews",4.3,CARRIER,3.0
291,291,Daikin 1 Ton 5 Star Split Inverter AC  - White,55500.0,39590,940,1.0,24 Ratings & 2 Reviews,3.7,Daikin,5.0
292,292,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,63400.0,46990,774,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,5.0
293,293,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,74990.0,48190,749,1.5,304 Ratings & 40 Reviews,4.1,SAMSUNG,5.0
294,294,Panasonic 1.5 Ton 3 Star Split AC with Wi-fi Connect  - White,55400.0,37909,989,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,3.0
295,295,Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  - White,48998.0,33999,1350,1.5,745 Ratings & 164 Reviews,4.0,Thomson,5.0
296,296,"LG 1.5 Ton 3 Star Split Dual Inverter AC  - White, Maroon",53990.0,43000,1740,1.5,237 Ratings & 36 Reviews,4.3,LG,3.0
297,297,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,73990.0,39990,1450,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5.0
298,298,Godrej 5-In-1 Convertible Cooling 2023 Model 2 Ton 5 Star Split Inverter with 4-way Air Swing AC AC  -...,69000.0,49490,916,2.0,485 Ratings & 53 Reviews,4.2,Godrej,5.0
299,299,CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,61990.0,40999,1500,1.5,"7,818 Ratings & 953 Reviews",4.4,CARRIER,5.0
300,300,TOSHIBA 1.8 Ton 5 Star Split Inverter AC  - White,74100.0,58490,1850,1.8,3 Ratings & 0 Reviews,5.0,TOSHIBA,5.0
301,301,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,54600.0,39400,523,1.0,304 Ratings & 40 Reviews,4.1,Panasonic,5.0
302,302,ONIDA 1.5 Ton 5 Star Split Inverter AC  - White,62490.0,39999,1415,1.5,64 Ratings & 6 Reviews,4.5,ONIDA,5.0
303,303,TOSHIBA 1.5 Ton 5 Star Split Inverter AC  - White,62000.0,49000,1570,1.5,1 Ratings & 1 Reviews,1.0,TOSHIBA,5.0
304,304,Midea 1.5 Ton 3 Star Split Inverter AC  - White,59790.0,35999,1700,1.5,18 Ratings & 0 Reviews,4.1,Midea,3.0
305,305,MarQ by Flipkart 1 Ton 3 Star Split AC  - White,36999.0,26490,741,1.0,"10,579 Ratings & 1,416 Reviews",4.2,MarQ,3.0
306,306,"Haier Frost Self-Clean 2023 Model 1.5 Ton 4 Star Split Inverter Intelli Smart,� Intelli Convertible 7-...",69990.0,36999,1525,1.5,"1,380 Ratings & 167 Reviews",4.0,Haier,4.0
307,307,Daikin 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,58400.0,36999,1670,1.5,"2,330 Ratings & 227 Reviews",4.2,Daikin,3.0
308,308,Thomson 1 Ton 2 Star Split With iBreeze Technology AC  - White,36999.0,27999,732,1.0,22 Ratings & 2 Reviews,3.9,Thomson,2.0
309,309,IFB 7 Stage Air Treatment 1.5 Ton 3 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,49590.0,37990,1088,1.5,"2,030 Ratings & 307 Reviews",4.3,IFB,3.0
310,310,Voltas 2 Ton 3 Star Split Inverter AC  - White,79990.0,46990,1220,2.0,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3.0
311,311,LG 1.5 Ton 3 Star Split Dual Inverter AC  - White,54990.0,44000,1740,1.5,23 Ratings & 5 Reviews,4.9,LG,3.0
312,312,Daikin 2.02 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,86800.0,60350,2410,2.02,5 Ratings & 0 Reviews,4.6,Daikin,3.0
313,313,ONIDA 1 Ton 3 Star Split Inverter AC  - White,48990.0,31999,1090,1.0,64 Ratings & 6 Reviews,4.5,ONIDA,3.0
314,314,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,61900.0,38590,1940,1.5,64 Ratings & 6 Reviews,4.5,Hitachi,3.0
315,315,LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,95990.0,50990,749,1.5,64 Ratings & 6 Reviews,4.5,LG,5.0
316,316,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,54400.0,34790,1870,1.5,64 Ratings & 6 Reviews,4.5,Panasonic,3.0
317,317,LG 1.5 Ton 5 Star Window Dual Inverter AC with Wi-fi Connect  - White,59990.0,40039,1053,1.5,20 Ratings & 0 Reviews,4.3,LG,5.0
318,318,Lloyd 0.8 Ton 3 Star Split Inverter AC  - White,41990.0,28990,585,0.8,"2,293 Ratings & 443 Reviews",4.3,Lloyd,3.0
319,319,MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - White,56999.0,35500,1118,1.5,334 Ratings & 39 Reviews,4.4,MarQ,5.0
320,320,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Conn...,53990.0,35099,624,1.0,552 Ratings & 53 Reviews,4.1,SAMSUNG,3.0
321,321,"Whirlpool 1 Ton 3 Star Split AC  - White, Grey",38000.0,28990,980,1.0,"8,140 Ratings & 897 Reviews",4.1,Whirlpool,3.0
322,322,LG 1 Ton 3 Star Split Dual Inverter AC  - White,57990.0,34990,680,1.0,77 Ratings & 10 Reviews,4.1,LG,3.0
323,323,Voltas 0.8 Ton 3 Star Split AC  - White,48990.0,32800,826,0.8,"3,520 Ratings & 391 Reviews",4.1,Voltas,3.0
324,324,SAMSUNG 1 Ton 3 Star Split Inverter AC  - White,40300.0,36500,1060,1.0,472 Ratings & 83 Reviews,4.3,SAMSUNG,3.0
325,325,Panasonic 2 Ton 3 Star Split Inverter AC  - White,67000.0,54500,1870,2.0,25 Ratings & 1 Reviews,4.5,Panasonic,3.0
326,326,Panasonic 2 Ton 3 Star Split AC  - White,59100.0,47500,1710,2.0,10 Ratings & 0 Reviews,3.6,Panasonic,3.0
327,327,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,62990.0,35690,977,1.5,10 Ratings & 0 Reviews,3.6,SAMSUNG,3.0
328,328,CARRIER 1.5 Ton 3 Star Split Air Filtration with High Density Filter AC  - White,62190.0,36499,1445,1.5,"1,280 Ratings & 153 Reviews",4.1,CARRIER,3.0
329,329,Daikin 1.5 Ton 5 Star Window AC  - White,39800.0,38490,1133,1.5,176 Ratings & 19 Reviews,4.2,Daikin,5.0
330,330,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,55500.0,42500,1980,1.5,64 Ratings & 10 Reviews,4.1,Blue,3.0
331,331,Hisense 4-in-1 Convertible Cooling 2 Ton 3 Star Split Inverter PM 2.5 Filter AC  - White,64990.0,44499,1920,2.0,"1,656 Ratings & 275 Reviews",4.2,Hisense,3.0
332,332,LG 1.5 Ton 3 Star Split Dual Inverter AC  - Floral White,55990.0,43500,1740,1.5,247 Ratings & 43 Reviews,4.3,LG,3.0
333,333,"Hitachi 1.5 Ton 3 Star Split AC  - Gold, White",47690.0,36999,1495,1.5,679 Ratings & 66 Reviews,4.0,Hitachi,3.0
334,334,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,69000.0,47500,1400,1.5,18 Ratings & 2 Reviews,4.0,Blue,5.0
335,335,SAMSUNG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter WINDFREE Technology AC  - White,70990.0,46990,1350,1.5,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,5.0
336,336,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,50600.0,37490,990,1.0,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,5.0
337,337,Voltas 2 in 1 Convertible Cooling 1.6 Ton 5 Star Split Inverter AC  - White,79990.0,40999,1526,1.6,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5.0
338,338,Voltas 1 Ton 3 Star Split Inverter AC  - White,56990.0,31490,669,1.0,15 Ratings & 0 Reviews,3.7,Voltas,3.0
339,339,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,67990.0,42990,1380,1.5,466 Ratings & 57 Reviews,4.2,SAMSUNG,5.0
340,340,Voltas 2 Ton Split Inverter AC  - White,75000.0,48490,1380,2.0,466 Ratings & 57 Reviews,4.2,Voltas,5.0
341,341,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,67990.0,45990,832,1.5,466 Ratings & 57 Reviews,4.2,SAMSUNG,5.0
342,342,SAMSUNG 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,64990.0,38990,977,1.5,466 Ratings & 57 Reviews,4.2,SAMSUNG,3.0
343,343,"Haier Frost Self-Clean 2023 Model 1 Ton 3 Star Split Inverter Intelli Convertible 7-in-1, Triple Inver...",60490.0,34990,1160,1.0,466 Ratings & 57 Reviews,4.2,Haier,3.0
344,344,ONIDA 1.6 Ton 4 Star Split Inverter AC  - White,61990.0,42999,1560,1.6,64 Ratings & 6 Reviews,4.5,ONIDA,4.0
345,345,Blue Star 1.5 Ton 3 Star Window Inverter AC  - White,45000.0,34990,1217,1.5,51 Ratings & 6 Reviews,3.8,Blue,3.0
346,346,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,59900.0,37499,1690,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3.0
347,347,"Hitachi 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",69900.0,43950,780,1.5,35 Ratings & 4 Reviews,3.7,Hitachi,5.0
348,348,Whirlpool 1 Ton 5 Star Split Inverter AC  - White,69900.0,51750,920,1.0,"28,823 Ratings & 3,616 Reviews",4.2,Whirlpool,5.0
349,349,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,55990.0,46890,749,1.5,"28,823 Ratings & 3,616 Reviews",4.2,SAMSUNG,5.0
350,350,Daikin 1 Ton 5 Star Split Inverter AC  - White,55200.0,45029,822,1.0,26 Ratings & 4 Reviews,4.2,Daikin,5.0
351,351,Lloyd 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,61990.0,35499,1002,1.5,791 Ratings & 148 Reviews,4.2,Lloyd,3.0
352,352,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,46600.0,39500,1780,1.5,329 Ratings & 44 Reviews,4.2,SAMSUNG,3.0
353,353,SAMSUNG 1 Ton 3 Star Split Inverter AC  - White,48200.0,41000,1180,1.0,30 Ratings & 7 Reviews,4.8,SAMSUNG,3.0
354,354,Hitachi 2 Ton 5 Star Split Inverter AC  - Gold,79000.0,56999,2070,2.0,"3,098 Ratings & 314 Reviews",4.0,Hitachi,5.0
355,355,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,66000.0,49990,848,1.5,127 Ratings & 24 Reviews,4.3,Panasonic,5.0
356,356,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,73250.0,45999,1260,1.5,127 Ratings & 24 Reviews,4.3,Blue,5.0
357,357,LIVPURE 1 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,38990.0,37990,1080,1.0,"2,609 Ratings & 574 Reviews",4.2,LIVPURE,3.0
358,358,TOSHIBA 1.5 Ton 3 Star Split AC  - White,49999.0,35000,1800,1.5,26 Ratings & 4 Reviews,4.2,TOSHIBA,3.0
359,359,SAMSUNG 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,62990.0,37490,977,1.5,26 Ratings & 4 Reviews,4.2,SAMSUNG,3.0
360,360,"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with...",75990.0,43990,818,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5.0
361,361,Lloyd 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,60990.0,42790,1370,1.5,503 Ratings & 57 Reviews,4.2,Lloyd,5.0
362,362,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,60900.0,39505,1690,1.5,503 Ratings & 57 Reviews,4.2,Panasonic,3.0
363,363,"Godrej 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",55900.0,43490,840,1.5,21 Ratings & 1 Reviews,4.0,Godrej,5.0
364,364,Hitachi 1.5 Ton 3 Star Window AC  - White,34490.0,29999,1277,1.5,814 Ratings & 89 Reviews,3.9,Hitachi,3.0
365,365,Blue Star 1.5 Ton 5 Star Window Inverter AC  - White,50999.0,39499,1082,1.5,51 Ratings & 6 Reviews,3.8,Blue,5.0
366,366,IFB 1.6 Ton 3 Star Split Inverter AC  - White,50090.0,38990,5650,1.6,73 Ratings & 6 Reviews,4.1,IFB,3.0
367,367,Blue Star 1.5 Ton 5 Star Split AC  - White,44100.0,43990,1500,1.5,845 Ratings & 191 Reviews,4.2,Blue,5.0
368,368,Godrej 1 Ton 5 Star Split Inverter AC  - White,50000.0,33900,611,1.0,42 Ratings & 2 Reviews,4.3,Godrej,5.0
369,369,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,54990.0,35999,1750,1.5,"1,162 Ratings & 105 Reviews",4.3,CARRIER,3.0
370,370,CARRIER 1 Ton 3 Star Window AC  - White,37090.0,28999,1110,1.0,84 Ratings & 7 Reviews,4.2,CARRIER,3.0
371,371,Midea 1.5 Ton 5 Star Split Inverter AC  - White,58500.0,34990,1490,1.5,250 Ratings & 34 Reviews,3.9,Midea,5.0
372,372,Voltas 1 Ton 3 Star Split Inverter AC  - White,56990.0,31490,700,1.0,6 Ratings & 1 Reviews,4.3,Voltas,3.0
373,373,Daikin 1.5 Ton 3 Star Split AC  - White,55600.0,39899,1278,1.5,7 Ratings & 1 Reviews,3.9,Daikin,3.0
374,374,Blue Star 1 Ton 5 Star Split Inverter AC  - White,59990.0,39990,90,1.0,4 Ratings & 0 Reviews,4.5,Blue,5.0
375,375,Haier 1.5 Ton 3 Star Split Inverter AC  - White,65990.0,35990,1089,1.5,"1,380 Ratings & 167 Reviews",4.0,Haier,3.0
376,376,CANDY 1.5 Ton 3 Star Split Inverter AC  - White,61000.0,31999,684,1.5,431 Ratings & 83 Reviews,4.0,CANDY,3.0
377,377,CANDY 1.5 Ton 5 Star Split Inverter AC  - White,71000.0,37990,735,1.5,431 Ratings & 83 Reviews,4.0,CANDY,5.0
378,378,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,66900.0,45990,885,1.5,304 Ratings & 40 Reviews,4.1,Panasonic,4.0
379,379,Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 3 Star Split Inverter Xpandable plus Ambience...,55050.0,33999,669,1.0,24 Ratings & 2 Reviews,3.2,Hitachi,3.0
380,380,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,61990.0,38490,1570,1.5,64 Ratings & 6 Reviews,4.5,ONIDA,3.0
381,381,Hitachi Ice Clean Frost Wash Technology 2023 Model 2 Ton 3 Star Split Inverter Xpandable plus Ambience...,81850.0,51999,1397,2.0,24 Ratings & 2 Reviews,3.2,Hitachi,3.0
382,382,Panasonic 1.5 Ton 5 Star Split Inverter AC  - White,57500.0,47000,1350,1.5,153 Ratings & 23 Reviews,4.5,Panasonic,5.0
383,383,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,63850.0,41900,1940,1.5,153 Ratings & 23 Reviews,4.5,Hitachi,3.0
384,384,Godrej 1.5 Ton 5 Star Split Inverter Convertible 5-in-1 Cooling With Anti-Virus Protection AC  - White...,51900.0,39490,840,1.5,485 Ratings & 53 Reviews,4.2,Godrej,5.0
385,385,Daikin 1.5 Ton 3 Star Split AC with PM 2.5 Filter  - White,55600.0,40910,1278,1.5,"1,442 Ratings & 155 Reviews",4.1,Daikin,3.0
386,386,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,67999.0,46979,1325,1.5,14 Ratings & 3 Reviews,3.9,Daikin,5.0
387,387,Godrej 1.5 Ton 3 Star Window AC  - White,31900.0,26990,1635,1.5,164 Ratings & 22 Reviews,4.0,Godrej,3.0
388,388,IFB 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,49490.0,36690,1005,1.5,164 Ratings & 22 Reviews,4.0,IFB,3.0
389,389,Blue Star 1 Ton 2 Star Window AC  - White,31000.0,25490,840,1.0,950 Ratings & 96 Reviews,4.1,Blue,2.0
390,390,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,31000.0,51990,1590,1.5,950 Ratings & 96 Reviews,4.1,Voltas,3.0
391,391,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,61500.0,35339,1600,1.5,4 Ratings & 0 Reviews,3.5,Blue,3.0
392,392,"Hitachi 1.5 Ton 3 Star Split Inverter AC  - White, Gold",57900.0,36999,1098,1.5,"3,098 Ratings & 314 Reviews",4.0,Hitachi,3.0
393,393,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,61990.0,44900,1350,1.5,"3,098 Ratings & 314 Reviews",4.0,SAMSUNG,5.0
394,394,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,79990.0,42880,1045,1.5,"3,098 Ratings & 314 Reviews",4.0,Voltas,3.0
395,395,"ONIDA 1.5 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - Silver, White",41990.0,34999,1600,1.5,960 Ratings & 138 Reviews,4.3,ONIDA,3.0
396,396,SAMSUNG windfree 1 Ton 3 Star Split Inverter AC  - White,50990.0,33990,624,1.0,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,3.0
397,397,TOSHIBA 1 Ton 5 Star Split Inverter AC  - White,50000.0,39000,1050,1.0,3 Ratings & 0 Reviews,3.7,TOSHIBA,5.0
398,398,CARRIER Flexicool Convertible 4-in-1 Cooling 1.5 Ton 4 Star Split Inverter Dual Filtration with HD and...,68490.0,38490,974,1.5,"7,406 Ratings & 741 Reviews",4.1,CARRIER,4.0
399,399,Hitachi 1.2 Ton 3 Star Split Inverter AC  - White,44190.0,34900,1110,1.2,"7,406 Ratings & 741 Reviews",4.1,Hitachi,3.0
400,400,Voltas 1.5 Ton 3 Star Window AC  - White,34899.0,28240,1649,1.5,"2,586 Ratings & 315 Reviews",4.3,Voltas,3.0
401,401,Lloyd 1.5 Ton 4 Star Window AC  - White,38990.0,28990,1180,1.5,214 Ratings & 36 Reviews,4.2,Lloyd,4.0
402,402,"Godrej 2 Ton 5 Star Split Inverter AC  - White, Black",77900.0,52999,1047,2.0,9 Ratings & 2 Reviews,3.9,Godrej,5.0
403,403,ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,44900.0,33599,1570,1.5,9 Ratings & 2 Reviews,3.9,ONIDA,3.0
404,404,MarQ by Flipkart Convertible 4-in-1 Cooling 1 Ton 3 Star Split Inverter AC  - White,45999.0,27490,712,1.0,779 Ratings & 116 Reviews,4.1,MarQ,3.0
405,405,O General 1.5 Ton 5 Star Split Inverter AC  - White,70530.0,62520,1580,1.5,4 Ratings & 0 Reviews,3.8,O,5.0
406,406,Godrej 1 Ton 3 Star Split Inverter AC  - White,42900.0,29900,752,1.0,50 Ratings & 3 Reviews,4.2,Godrej,3.0
407,407,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,51500.0,41500,1630,1.5,56 Ratings & 9 Reviews,4.3,Panasonic,3.0
